Vardi,Dzimums,Skaits
"ABDUL VAHID","VĪRIETIS",2
"ABDUL WAHEED","VĪRIETIS",1
"ABDUL WALI","VĪRIETIS",1
"ABDUL WASI","VĪRIETIS",2
"ABDUL-BORIY","VĪRIETIS",1
"ABDUL-KHALIQ","VĪRIETIS",1
"ABDUL-KHAMIT","VĪRIETIS",1
"ABDULA","VĪRIETIS",1
"ABDULAHS","VĪRIETIS",1
"ABDULAKHAD","VĪRIETIS",1
"ABDULALI","VĪRIETIS",1
"ABDULATIF","VĪRIETIS",2
"ABDULAZIZ","VĪRIETIS",18
"ABDULBAKIJS","VĪRIETIS",1
"ABDULBASET AZEEZ HUSSEIN","VĪRIETIS",1
"ABDULBOKI","VĪRIETIS",1
"ABDULBOSID","VĪRIETIS",1
"ABDULBOSIT","VĪRIETIS",3
"ABDULBOSITHON","VĪRIETIS",1
"ABDULHAKIM","VĪRIETIS",2
"ABDULHAKS","VĪRIETIS",1
"ABDULHAMID","VĪRIETIS",2
"ABDULHAQ","VĪRIETIS",1
"ABDULHODIY","VĪRIETIS",1
"ABDULKADIR","VĪRIETIS",3
"ABDULKARIM","VĪRIETIS",1
"ABDULKARIMS","VĪRIETIS",1
"ABDULKHABII","VĪRIETIS",1
"ABDULKHAKIM","VĪRIETIS",1
"ABDULKHAMID","VĪRIETIS",2
"ABDULKHAY","VĪRIETIS",3
"ABDULLA","VĪRIETIS",18
"ABDULLA AHMEDS","VĪRIETIS",1
"ABDULLA BIN IBRAHIMS","VĪRIETIS",1
"ABDULLA FAIROOS","VĪRIETIS",1
"ABDULLA KHIDR","VĪRIETIS",1
"ABDULLA KONORS","VĪRIETIS",1
"ABDULLA MISBAH","VĪRIETIS",1
"ABDULLA SAĪDS ABASS","VĪRIETIS",1
"ABDULLAH","VĪRIETIS",11
"ABDULLAH EMRE","VĪRIETIS",1
"ABDULLAH ERKAM","VĪRIETIS",1
"ABDULLAH MAJED A","VĪRIETIS",1
"ABDULLAH SALEM AHMED","VĪRIETIS",1
"ABDULLAH SINAN","VĪRIETIS",1
"ABDULLAH WASEEM","VĪRIETIS",1
"ABDULLAHI","VĪRIETIS",1
"ABDULLAHS","VĪRIETIS",2
"ABDULLAHS IBN","VĪRIETIS",1
"ABDULLAHS RIKARDO","VĪRIETIS",1
"ABDULLAHS ŠAHINS","VĪRIETIS",1
"ABDULLAJON","VĪRIETIS",2
"ABDULLATIF","VĪRIETIS",1
"ABDULLO","VĪRIETIS",4
"ABDULLOH","VĪRIETIS",5
"ABDULLOJON","VĪRIETIS",1
"ABDULLOKH","VĪRIETIS",3
"ABDULMAJID","VĪRIETIS",1
"ABDULMAJID JAVED","VĪRIETIS",1
"ABDULMALIK MISBAH KHALLEEFAH","VĪRIETIS",1
"ABDULMOUNEIM","VĪRIETIS",1
"ABDULO","VĪRIETIS",1
"ABDULRAHIMS","VĪRIETIS",1
"ABDULRAHMAN","VĪRIETIS",1
"ABDULRAHMAN AHMAD","VĪRIETIS",1
"ABDULRAHMAN MHMOOD MAMDOOH","VĪRIETIS",1
"ABDULRAHMAN REYAD HASHMI","VĪRIETIS",1
"ABDULRHMAN SALEH ALI","VĪRIETIS",1
"ABDULS","VĪRIETIS",1
"ABDULS HADI","VĪRIETIS",1
"ABDULS RAHIMS LAZIZOVIČS","VĪRIETIS",1
"ABDULS SAMADS","VĪRIETIS",1
"ABDULS SAMI","VĪRIETIS",1
"ABDULSAMI RAJESAHEB","VĪRIETIS",1
"ABDULVAHAP","VĪRIETIS",1
"ABDULVOKHID","VĪRIETIS",2
"ABDULVOSID","VĪRIETIS",1
"ABDUMAJID","VĪRIETIS",4
"ABDUMALIK","VĪRIETIS",9
"ABDUMANNON","VĪRIETIS",1
"ABDUMANON","VĪRIETIS",1
"ABDUMUHTARS","VĪRIETIS",1
"ABDUMUMIN","VĪRIETIS",1
"ABDUMUTALLIB","VĪRIETIS",2
"ABDUNABI","VĪRIETIS",1
"ABDUQAYUM","VĪRIETIS",1
"ABDUQODIR","VĪRIETIS",1
"ABDUR REHMAN TAHA","VĪRIETIS",1
"ABDURAFIK","VĪRIETIS",1
"ABDURAGIMS","VĪRIETIS",1
"ABDURAHMANS","VĪRIETIS",1
"ABDURAHMON","VĪRIETIS",3
"ABDURAKHIM","VĪRIETIS",3
"ABDURAKHMAN","VĪRIETIS",1
"ABDURAKHMON","VĪRIETIS",3
"ABDURAKHMONI","VĪRIETIS",1
"ABDURASHID","VĪRIETIS",9
"ABDURASHIDKHON","VĪRIETIS",1
"ABDURASUL","VĪRIETIS",6
"ABDURASULJON","VĪRIETIS",1
"ABDURAUF","VĪRIETIS",1
"ABDURAUFJON","VĪRIETIS",1
"ABDURAZOKS","VĪRIETIS",1
"ABDURAZZAK","VĪRIETIS",1
"ABDURAŠIDS","VĪRIETIS",1
"ABDUROFE","VĪRIETIS",1
"ABDUROZIQ","VĪRIETIS",1
"ABDURRAHMAN","VĪRIETIS",2
"ABDURRAHMANS","VĪRIETIS",1
"ABDUSAIDJON","VĪRIETIS",1
"ABDUSAMAD","VĪRIETIS",2
"ABDUSAMAT","VĪRIETIS",1
"ABDUSAMID","VĪRIETIS",1
"ABDUSATTAR","VĪRIETIS",1
"ABDUSATTOR","VĪRIETIS",1
"ABDUSHUKUR","VĪRIETIS",3
"ABDUSODIK","VĪRIETIS",1
"ABDUVAKHOB","VĪRIETIS",1
"ABDUVALI","VĪRIETIS",4
"ABDUVOHID","VĪRIETIS",1
"ABDUVOKHID","VĪRIETIS",3
"ABDUVOSI","VĪRIETIS",1
"ABDUVOSID","VĪRIETIS",1
"ABDUVOSIT","VĪRIETIS",2
"ABDUZHALIL","VĪRIETIS",1
"ABDYLLA","VĪRIETIS",1
"ABDYRAKHMAN","VĪRIETIS",1
"ABE","VĪRIETIS",3
"ABEAL","VĪRIETIS",1
"ABED","VĪRIETIS",1
"ABEDERRAOUF","VĪRIETIS",1
"ABEDRAHIMS","VĪRIETIS",1
"ABEDTS","VĪRIETIS",1
"ABEDURS","VĪRIETIS",1
"ABEER","VĪRIETIS",1
"ABEESH THOMAS","VĪRIETIS",1
"ABEJIN BAIJU","VĪRIETIS",1
"ABEL","VĪRIETIS",4
"ABEL ANDREEVITCH","VĪRIETIS",1
"ABEL KURIAN","VĪRIETIS",1
"ABESS","VĪRIETIS",1
"ABEĻS","VĪRIETIS",2
"ABHAY","VĪRIETIS",3
"ABHAY KRISHNA","VĪRIETIS",1
"ABHAYDEV","VĪRIETIS",1
"ABHAYKUMAR NITINBHAI","VĪRIETIS",1
"ABHICHANDRA","VĪRIETIS",1
"ABHIDEV","VĪRIETIS",1
"ABHIDŽITS","VĪRIETIS",1
"ABHIJIT","VĪRIETIS",1
"ABHIJITH","VĪRIETIS",6
"ABHIKESH","VĪRIETIS",1
"ABHIKRISHNAN","VĪRIETIS",1
"ABHIL","VĪRIETIS",1
"ABHILASH","VĪRIETIS",5
"ABHILASH REDDY","VĪRIETIS",2
"ABHILASHI PURNIMA","SIEVIETE",1
"ABHIMANNYU","VĪRIETIS",1
"ABHIMANYU","VĪRIETIS",2
"ABHIMANYUJALAN","VĪRIETIS",1
"ABHINAND","VĪRIETIS",1
"ABHINAND KIRAN","VĪRIETIS",1
"ABHINATH","VĪRIETIS",1
"ABHINAV","VĪRIETIS",5
"ABHINAV DEEPAK KUMAR","VĪRIETIS",1
"ABHINEET","VĪRIETIS",1
"ABHIRAJ","VĪRIETIS",1
"ABHIRAM","VĪRIETIS",3
"ABHIRAMI","SIEVIETE",4
"ABHIRAMKUMAR","VĪRIETIS",1
"ABHISEK","VĪRIETIS",1
"ABHISHEK","VĪRIETIS",24
"ABHISHEK GOPIKRISHNAN","VĪRIETIS",1
