Vardi,Dzimums,Skaits
"HAIDERS ALAMS","VĪRIETIS",1
"HAIDERS ALI","VĪRIETIS",2
"HAIDI","SIEVIETE",1
"HAIDI LINDA DŽEINA","SIEVIETE",1
"HAIDIJA ROZE","SIEVIETE",1
"HAIDONG","VĪRIETIS",1
"HAIFA","SIEVIETE",1
"HAIGARS","VĪRIETIS",1
"HAIGITA","SIEVIETE",1
"HAIJANS","VĪRIETIS",1
"HAIK","VĪRIETIS",1
"HAIKA","SIEVIETE",2
"HAIKO","VĪRIETIS",1
"HAIKO GAČA","VĪRIETIS",1
"HAIKS","VĪRIETIS",1
"HAIKUN","VĪRIETIS",1
"HAILEJA BRAITONE","SIEVIETE",1
"HAILEY ACKERMAN","SIEVIETE",1
"HAILIJA","SIEVIETE",1
"HAIM","VĪRIETIS",1
"HAIMADOU","VĪRIETIS",1
"HAIMS","VĪRIETIS",35
"HAIMS DĀVIDS","VĪRIETIS",1
"HAIMS ELAZARS","VĪRIETIS",1
"HAIMS ICHOKS","VĪRIETIS",1
"HAIMS JEFIMS","VĪRIETIS",1
"HAIMS ŠAULS","VĪRIETIS",1
"HAINCS","VĪRIETIS",1
"HAINESA","SIEVIETE",1
"HAINRIHS","VĪRIETIS",1
"HAINSS VILJAMS","VĪRIETIS",1
"HAIRA HADIDŽA","SIEVIETE",1
"HAIRAMS DŽŪLIANS","VĪRIETIS",1
"HAISAMS","VĪRIETIS",1
"HAITAO","VĪRIETIS",1
"HAITHAM","VĪRIETIS",3
"HAITMIRATS","VĪRIETIS",1
"HAIVEEN","SIEVIETE",1
"HAIXIAO","SIEVIETE",1
"HAJA","SIEVIETE",22
"HAJA BELLA","SIEVIETE",1
"HAJA ETELE","SIEVIETE",1
"HAJA FEJA","SIEVIETE",1
"HAJA GINDA","SIEVIETE",1
"HAJA LORENSA","SIEVIETE",1
"HAJA MARĪ","SIEVIETE",1
"HAJA MUŠKA","SIEVIETE",5
"HAJA ROHA","SIEVIETE",1
"HAJAMS","VĪRIETIS",1
"HAJAR","SIEVIETE",1
"HAJI","VĪRIETIS",1
"HAJITH","VĪRIETIS",1
"HAJIZ","VĪRIETIS",1
"HAJOHA","SIEVIETE",1
"HAJUN","VĪRIETIS",1
"HAJUNA","SIEVIETE",1
"HAKAN","VĪRIETIS",6
"HAKHWANDAO","SIEVIETE",1
"HAKIMS","VĪRIETIS",6
"HAKIMS ADAMS","VĪRIETIS",1
"HAKIMS AZIZS","VĪRIETIS",1
"HALA","SIEVIETE",3
"HALA BASHIR ALI MOHAMED","SIEVIETE",1
"HALA HEŠAMA","SIEVIETE",1
"HALDORS","VĪRIETIS",11
"HALDORS DANIELS","VĪRIETIS",1
"HALDORS JALMARS","VĪRIETIS",1
"HALDUN COSKUN","VĪRIETIS",1
"HALEDS","VĪRIETIS",1
"HALEEMEH","SIEVIETE",1
"HALELA","SIEVIETE",1
"HALELA ŠIRA","SIEVIETE",1
"HALELI","VĪRIETIS",1
"HALELS","VĪRIETIS",1
"HALENUR","SIEVIETE",1
"HALEY NICOLE","SIEVIETE",1
"HALFORS","VĪRIETIS",1
"HALIANNA","SIEVIETE",1
"HALID","VĪRIETIS",1
"HALIDA","SIEVIETE",5
"HALIDS","VĪRIETIS",3
"HALIJA ANDŽELA","SIEVIETE",1
"HALIL","VĪRIETIS",2
"HALIL BERK","VĪRIETIS",2
"HALILS","VĪRIETIS",1
"HALIMA","SIEVIETE",6
"HALIMA HAJOTOVNA","SIEVIETE",1
"HALIMAHA","SIEVIETE",1
"HALIMKHON","VĪRIETIS",1
"HALIMSHO","VĪRIETIS",1
"HALINA","SIEVIETE",43
"HALINA IRĒNA","SIEVIETE",1
"HALINA KRISTIĀNA","SIEVIETE",1
"HALINA MERĪ","SIEVIETE",1
"HALISS","VĪRIETIS",1
"HALIT","VĪRIETIS",1
"HALITS","VĪRIETIS",1
"HALLA FLINNA","SIEVIETE",1
"HALLVARD VATSVAAG","VĪRIETIS",1
"HALVARDS","VĪRIETIS",1
"HALWALA PRIYANKARAGE ARUNIKA FLORENCE","SIEVIETE",1
"HALYNA","SIEVIETE",240
"HALĪMA","SIEVIETE",1
"HALĪNA","SIEVIETE",3
"HAMAAD","VĪRIETIS",1
"HAMAD ALI J. M.","VĪRIETIS",1
"HAMASA","SIEVIETE",1
"HAMBARDZUMS","VĪRIETIS",1
"HAMDA MAHAMUD ABUKAR","SIEVIETE",1
"HAMDAM","VĪRIETIS",1
"HAMDANS ALI","VĪRIETIS",1
"HAMDEEP SINGH","VĪRIETIS",1
"HAMDI AL-DAIDAMOUNI SALAMA","VĪRIETIS",1
"HAMDIJA","SIEVIETE",1
"HAMED","VĪRIETIS",2
"HAMEDS","VĪRIETIS",1
"HAMEDS HANIJS HAMEDS MOHAMEDS","VĪRIETIS",1
"HAMEED AFLICK","VĪRIETIS",1
"HAMEED LUTHUF","VĪRIETIS",1
"HAMID","VĪRIETIS",7
"HAMIDA","SIEVIETE",2
"HAMIDREZA","VĪRIETIS",1
"HAMIDS","VĪRIETIS",1
"HAMIDS GABRIELS","VĪRIETIS",1
"HAMIDULLAH","VĪRIETIS",2
"HAMIDULLO","VĪRIETIS",1
"HAMILTONS STANISLAVS","VĪRIETIS",1
"HAMISA","SIEVIETE",1
"HAMISH EOUGHANN","VĪRIETIS",1
"HAMISH FRANCIS GILBERT","VĪRIETIS",1
"HAMISH RUBEN","VĪRIETIS",1
"HAMITS","VĪRIETIS",1
"HAMITS NORLANDS","VĪRIETIS",1
"HAMIYYAT","VĪRIETIS",1
"HAMIZS","VĪRIETIS",1
"HAMIŠS RIČARDS","VĪRIETIS",1
"HAMLET","VĪRIETIS",1
"HAMMADS RAZA","VĪRIETIS",1
"HAMRAZS","VĪRIETIS",1
"HAMSA","SIEVIETE",1
"HAMSALATHA","SIEVIETE",1
"HAMSE KEYRE","VĪRIETIS",1
"HAMSHIKA","SIEVIETE",1
"HAMSHINI","SIEVIETE",1
"HAMZA","VĪRIETIS",23
"HAMZA ABDUĻRZEAKS","VĪRIETIS",1
"HAMZA ALI","VĪRIETIS",1
"HAMZA FARRUKHS","VĪRIETIS",1
"HAMZA HAZARS","VĪRIETIS",1
"HAMZA TEMAM","VĪRIETIS",1
"HAMZAH","VĪRIETIS",1
"HAMZAH MUGAHED NOMAN","VĪRIETIS",1
"HAMZATHUL KARRAR","VĪRIETIS",1
"HAN","VĪRIETIS",2
"HAN MILEN","VĪRIETIS",1
"HANA","SIEVIETE",50
"HANA ALITA","SIEVIETE",1
"HANA AVIVA","SIEVIETE",1
"HANA ELIZABETE","SIEVIETE",1
"HANA LAILA","SIEVIETE",1
"HANA MARIA","SIEVIETE",1
"HANA MOHAMMED","SIEVIETE",1
"HANAA","SIEVIETE",1
"HANAA NASRALLA GHOBRIAL","SIEVIETE",1
"HANAN","SIEVIETE",1
"HANAN MANSOUR MOHAMED","SIEVIETE",1
"HANANE","SIEVIETE",1
"HANANELS","VĪRIETIS",1
"HANANS","VĪRIETIS",5
"HANANS JEVGENIJS","VĪRIETIS",1
"HANARA","SIEVIETE",1
"HANARO","VĪRIETIS",1
"HANDONG","VĪRIETIS",1
"HANELITA","SIEVIETE",1
"HANGCI","VĪRIETIS",1
"HANGMO","VĪRIETIS",1
"HANH MINH","SIEVIETE",1
"HANH NHI","SIEVIETE",1
"HANH SAN","SIEVIETE",1
"HANHA","SIEVIETE",1
"HANI","VĪRIETIS",2
"HANI ADI","SIEVIETE",1
"HANI MUŠTAKS HAIDERS","VĪRIETIS",1
"HANI NIKOLAJS","VĪRIETIS",1
"HANI ŠORIŠA","SIEVIETE",1
"HANIA","SIEVIETE",4
"HANIELA","SIEVIETE",1
"HANIFA","SIEVIETE",3
"HANIJA","SIEVIETE",7
"HANIJA HANNA","SIEVIETE",1
"HANIMA","SIEVIETE",1
"HANIN RAHMAN","VĪRIETIS",1
"HANITA","SIEVIETE",3
"HANKA","SIEVIETE",1
"HANKYUL","SIEVIETE",1
"HANNA","SIEVIETE",1101
"HANNA","VĪRIETIS",1
"HANNA ABIGEILA","SIEVIETE",1
"HANNA ADELINE","SIEVIETE",1
"HANNA AGIJA","SIEVIETE",1
"HANNA ALISE","SIEVIETE",1
"HANNA ALMA","SIEVIETE",1
"HANNA ALĒNA","SIEVIETE",1
"HANNA AMANDA","SIEVIETE",1
"HANNA AMĒLIJA","SIEVIETE",4
"HANNA ANABELLA","SIEVIETE",1
"HANNA ANNA","SIEVIETE",3
"HANNA ANNIJA","SIEVIETE",1
"HANNA AURORA","SIEVIETE",1
"HANNA BEA","SIEVIETE",1
"HANNA BEATRISE","SIEVIETE",1
"HANNA BRITT LINNEA F","SIEVIETE",1
"HANNA DAGNIJA","SIEVIETE",1
"HANNA DEIZIJA","SIEVIETE",1
"HANNA DORA","SIEVIETE",1
"HANNA DOVE","SIEVIETE",1
"HANNA DĀRTA","SIEVIETE",1
"HANNA DŽILLA","SIEVIETE",1
"HANNA ELFRĪDA","SIEVIETE",1
"HANNA ELINA","SIEVIETE",1
"HANNA ELIZABETE","SIEVIETE",7
"HANNA ELZA","SIEVIETE",1
"HANNA ELĪZA","SIEVIETE",2
"HANNA EMMA","SIEVIETE",1
"HANNA EMĪLIJA","SIEVIETE",2
"HANNA ENIA","SIEVIETE",1
"HANNA ENIJA","SIEVIETE",1
"HANNA ESTELLE","SIEVIETE",1
"HANNA ESTERE","SIEVIETE",1
"HANNA EVELĪNA","SIEVIETE",1
"HANNA FLORA","SIEVIETE",1
"HANNA FRANCISKA","SIEVIETE",1
"HANNA GABRIELA","SIEVIETE",2
"HANNA GABRIELLA","SIEVIETE",1
"HANNA GREISA","SIEVIETE",2
"HANNA GRIETA","SIEVIETE",1
"HANNA GRĒTA","SIEVIETE",3
"HANNA GUNITA","SIEVIETE",1
"HANNA HEIDIJA","SIEVIETE",1
"HANNA HEILIJA","SIEVIETE",1
"HANNA HENRIETE","SIEVIETE",2
"HANNA HĒRA","SIEVIETE",1
"HANNA ISABELA","SIEVIETE",1
"HANNA IZABELA","SIEVIETE",1
"HANNA JASMĪNA","SIEVIETE",2
"HANNA JOSEFINA","SIEVIETE",1
"HANNA JOZEFĪNE EMELIJA","SIEVIETE",1
"HANNA KAMILLA","SIEVIETE",1
"HANNA KARLA","SIEVIETE",1
"HANNA KARLĪNA","SIEVIETE",1
"HANNA KARMELA","SIEVIETE",1
"HANNA KATE","SIEVIETE",1
"HANNA KATERĪNA","SIEVIETE",1
"HANNA KATRINA","SIEVIETE",1
"HANNA KATRĪNA","SIEVIETE",3
"HANNA KATRĪNE","SIEVIETE",1
"HANNA KEILA","SIEVIETE",1
"HANNA KEITA","SIEVIETE",1
"HANNA KLAUDIJA","SIEVIETE",1
"HANNA KRISTENA","SIEVIETE",1
"HANNA KRISTINE","SIEVIETE",1
"HANNA KRISTIĀNA","SIEVIETE",2
"HANNA KĪLA","SIEVIETE",1
"HANNA LEITE","SIEVIETE",1
"HANNA LILIJA","SIEVIETE",2
"HANNA LINNEA","SIEVIETE",1
"HANNA LISA","SIEVIETE",1
"HANNA LISETA","SIEVIETE",1
"HANNA LIZETE","SIEVIETE",1
"HANNA LOTE","SIEVIETE",1
"HANNA LUĪZA","SIEVIETE",2
"HANNA LUĪZE","SIEVIETE",4
"HANNA LUĪZE MĀRA","SIEVIETE",1
"HANNA LĪGA","SIEVIETE",1
"HANNA LĪNA","SIEVIETE",1
"HANNA LĪVIJA","SIEVIETE",1
"HANNA MAGDALĒNA","SIEVIETE",1
"HANNA MARGARETA","SIEVIETE",1
"HANNA MARGARITA","SIEVIETE",1
"HANNA MARIA","SIEVIETE",3
"HANNA MARIJA","SIEVIETE",4
"HANNA MARTA","SIEVIETE",4
"HANNA MARĪ","SIEVIETE",1
"HANNA MATILDA","SIEVIETE",2
"HANNA MATILDE","SIEVIETE",1
"HANNA MEJA","SIEVIETE",1
"HANNA MELĀNIJA","SIEVIETE",2
"HANNA MIRJAMA","SIEVIETE",1
"HANNA MIŠELA","SIEVIETE",1
"HANNA MONTA","SIEVIETE",1
"HANNA MĒRIJA","SIEVIETE",3
"HANNA NABIHA","SIEVIETE",1
"HANNA NATALIJA SANDRA","SIEVIETE",1
"HANNA NATĀLIJA","SIEVIETE",1
"HANNA NELLIJA","SIEVIETE",1
"HANNA NIKOLA","SIEVIETE",1
"HANNA OLĪVIJA","SIEVIETE",1
"HANNA OTĪLIJA","SIEVIETE",1
"HANNA PATRĪCIJA","SIEVIETE",1
"HANNA PAULA","SIEVIETE",2
"HANNA POLĪNA","SIEVIETE",1
"HANNA RACHEL","SIEVIETE",1
"HANNA RAHELE","SIEVIETE",1
"HANNA REVINA","SIEVIETE",1
"HANNA RITA","SIEVIETE",1
"HANNA RŪTA","SIEVIETE",1
"HANNA SANITA","SIEVIETE",1
"HANNA SENDIJA","SIEVIETE",1
"HANNA SOFIA ARUNA","SIEVIETE",1
"HANNA SOFIJA","SIEVIETE",1
"HANNA SOLVEIGA","SIEVIETE",1
"HANNA SOLVITA","SIEVIETE",1
"HANNA SĀRA","SIEVIETE",2
"HANNA SŪZANNA","SIEVIETE",1
"HANNA TERĒZE","SIEVIETE",1
"HANNA THANDO CHRISTIN","SIEVIETE",1
"HANNA TUULIKKI","SIEVIETE",1
"HANNA TĪNA","SIEVIETE",1
"HANNA ULRIKE","SIEVIETE",1
"HANNA VALERĪ","SIEVIETE",1
"HANNA VIKTORIJA","SIEVIETE",2
"HANNA VOLŠA","SIEVIETE",1
"HANNA ŠARLOTE","SIEVIETE",1
"HANNA-LIISA","SIEVIETE",1
"HANNABELLE REIČELA LEONTĪNE","SIEVIETE",1
"HANNAH","SIEVIETE",4
"HANNAH ABIGAIL","SIEVIETE",1
"HANNAH FRANZISKA","SIEVIETE",1
"HANNAH JOSEFIN","SIEVIETE",1
"HANNAH LEOKADIA","SIEVIETE",1
"HANNAH MEILAN","SIEVIETE",1
"HANNAH MILLER","SIEVIETE",1
"HANNAH PRANAY","SIEVIETE",1
"HANNAH SOPHIA","SIEVIETE",1
"HANNAH SOPHIE","SIEVIETE",1
"HANNAH-SOPHIE","SIEVIETE",1
"HANNAHA HANNA","SIEVIETE",1
"HANNAN","VĪRIETIS",1
"HANNE","SIEVIETE",2
"HANNE HELĒNA","SIEVIETE",1
"HANNE NADĪNE","SIEVIETE",1
"HANNE ULFF","SIEVIETE",1
"HANNEKE","SIEVIETE",1
"HANNELE","SIEVIETE",1
"HANNELORA","SIEVIETE",1
"HANNELORE","SIEVIETE",2
"HANNELORE ANGELIKA EMMA","SIEVIETE",1
"HANNES","VĪRIETIS",8
"HANNESS LEO","VĪRIETIS",1
"HANNIJA","SIEVIETE",6
"HANNO","VĪRIETIS",1
"HANNO JULIAN","VĪRIETIS",1
"HANNU EERIK MIKAEL","VĪRIETIS",1
"HANNU KALEVI","VĪRIETIS",1
"HANNU LAURI","VĪRIETIS",1
"HANNU PELLERVO","VĪRIETIS",1
"HANNU TUOMAS","VĪRIETIS",1
"HANNU VILJO OLAVI","VĪRIETIS",1
"HANO","VĪRIETIS",2
"HANORA ĒRIKA","SIEVIETE",1
"HANS","VĪRIETIS",12
"HANS ALBIN GUSTAF","VĪRIETIS",1
"HANS ANDERS JOAKIM","VĪRIETIS",1
"HANS BRUNO","VĪRIETIS",1
"HANS CHRISTIAN","VĪRIETIS",1
"HANS EBBE","VĪRIETIS",1
"HANS ERICH","VĪRIETIS",1
"HANS ERNESTS","VĪRIETIS",1
"HANS FREDRIK THOMAS","VĪRIETIS",1
"HANS GABRIELS","VĪRIETIS",1
"HANS GOERAN","VĪRIETIS",1
"HANS HESSELHOLT HENNE","VĪRIETIS",1
"HANS JOERGEN","VĪRIETIS",1
"HANS JUERGEN","VĪRIETIS",1
"HANS JUERGEN MICHAEL","VĪRIETIS",1
"HANS JUUL","VĪRIETIS",1
"HANS KLAUS","VĪRIETIS",1
"HANS KONRAD CYRIAKUS","VĪRIETIS",1
"HANS KRISTER","VĪRIETIS",1
"HANS KRISTER ROLAND","VĪRIETIS",1
"HANS KRISTIAN","VĪRIETIS",1
"HANS KRISTIANS","VĪRIETIS",1
"HANS KRISTIĀNS","VĪRIETIS",1
"HANS KURT","VĪRIETIS",1
"HANS MOELLER","VĪRIETIS",1
"HANS PETER","VĪRIETIS",3
"HANS PETERS","VĪRIETIS",1
"HANS ROMEO","VĪRIETIS",1
"HANS STEFAN","VĪRIETIS",1
"HANS THOMAS","VĪRIETIS",1
"HANS ULRICH","VĪRIETIS",1
"HANS-HENRIK","VĪRIETIS",1
"HANS-JOACHIM HEINRICH","VĪRIETIS",1
"HANS-JUERGEN","VĪRIETIS",1
"HANS-PETER","VĪRIETIS",2
"HANSA SAJAN RAHULA","VĪRIETIS",1
"HANSIKA DEVINDI WIJEKOON","SIEVIETE",1
"HANSLU","SIEVIETE",1
"HANSONS ARNOLDS","VĪRIETIS",1
"HANSS","VĪRIETIS",14
"HANSS ALFRĒDS","VĪRIETIS",1
"HANSS EVARTS","VĪRIETIS",1
"HANSS FĒNIKSS","VĪRIETIS",1
"HANSS GABRIELS","VĪRIETIS",1
"HANSS HENDRIKS","VĪRIETIS",1
"HANSS JVARS BILS","VĪRIETIS",1
"HANSS MARTINS","VĪRIETIS",1
"HANSS MORISS","VĪRIETIS",1
"HANSS RŪDIS","VĪRIETIS",1
"HANSS VILIAMS","VĪRIETIS",1
"HANSS ČĀRLZS IMANTS","VĪRIETIS",1
"HANSS ŽILSONS","VĪRIETIS",1
"HANTERA REČELE","SIEVIETE",1
"HANTERE ELIZABETE","SIEVIETE",1
"HANTERS","VĪRIETIS",1
"HANTERS LĪ","VĪRIETIS",1
"HANTERS MARKO","VĪRIETIS",1
"HANTIJA","SIEVIETE",1
"HANUMA","SIEVIETE",3
"HANXI","SIEVIETE",1
"HANY MOHAMED KHADARY","VĪRIETIS",1
"HANZUO","VĪRIETIS",1
"HAO","SIEVIETE",2
"HAO","VĪRIETIS",5
"HAODONG","VĪRIETIS",1
"HAOJANS","VĪRIETIS",1
"HAORAN","VĪRIETIS",1
"HAORUI","VĪRIETIS",1
"HAOWEI","VĪRIETIS",1
"HAPPY GUWENDIA","SIEVIETE",1
"HARALD","VĪRIETIS",5
"HARALD CHRISTIAN","VĪRIETIS",1
"HARALD OTFRIED RUEDIGER","VĪRIETIS",1
"HARALD PAUL","VĪRIETIS",1
"HARALD RICHARD","VĪRIETIS",1
"HARALD UWE","VĪRIETIS",1
"HARALDA","SIEVIETE",1
"HARALDS","VĪRIETIS",1792
"HARALDS ALANS","VĪRIETIS",1
"HARALDS ALBERTS","VĪRIETIS",2
"HARALDS ALEKSANDRS","VĪRIETIS",2
"HARALDS ANDREJS","VĪRIETIS",1
"HARALDS ANDŽEJS","VĪRIETIS",1
"HARALDS ANSIS","VĪRIETIS",1
"HARALDS ARNE","VĪRIETIS",1
"HARALDS ARTIS","VĪRIETIS",1
"HARALDS DANIELS","VĪRIETIS",2
"HARALDS DĀGS","VĪRIETIS",1
"HARALDS EDUARDS","VĪRIETIS",1
"HARALDS EGONS","VĪRIETIS",1
"HARALDS ELVIJS","VĪRIETIS",1
"HARALDS EVERTS","VĪRIETIS",1
"HARALDS FRANCIS","VĪRIETIS",1
"HARALDS FREDS","VĪRIETIS",1
"HARALDS GEORGS","VĪRIETIS",1
"HARALDS GUSTAVS","VĪRIETIS",4
"HARALDS HALLDORS","VĪRIETIS",1
"HARALDS HENRIJS","VĪRIETIS",1
"HARALDS HENRIKS","VĪRIETIS",1
"HARALDS ILGVARS","VĪRIETIS",1
"HARALDS ILMĀRS","VĪRIETIS",1
"HARALDS INGUS","VĪRIETIS",1
"HARALDS IVO","VĪRIETIS",1
"HARALDS JURIS","VĪRIETIS",1
"HARALDS JURĢIS","VĪRIETIS",1
"HARALDS JUSTS","VĪRIETIS",1
"HARALDS JĀNIS","VĪRIETIS",14
"HARALDS JĒKABS","VĪRIETIS",1
"HARALDS JŪLIJS","VĪRIETIS",1
"HARALDS KRISTIANS","VĪRIETIS",2
"HARALDS KRISTIĀNS","VĪRIETIS",2
"HARALDS KRISTS","VĪRIETIS",2
"HARALDS KRIŠJĀNIS","VĪRIETIS",1
"HARALDS KĀRLIS","VĪRIETIS",6
"HARALDS LEONS","VĪRIETIS",2
"HARALDS LŪKASS","VĪRIETIS",3
"HARALDS MAGNUS","VĪRIETIS",1
"HARALDS MARKO","VĪRIETIS",1
"HARALDS MARKS","VĪRIETIS",1
"HARALDS MATĪSS","VĪRIETIS",1
"HARALDS MIĶELIS","VĪRIETIS",1
"HARALDS MĀRCIS","VĪRIETIS",1
"HARALDS MĀRTIŅŠ","VĪRIETIS",3
"HARALDS NEILS","VĪRIETIS",1
"HARALDS NIKS","VĪRIETIS",2
"HARALDS OJARS","VĪRIETIS",1
"HARALDS ORESTS","VĪRIETIS",1
"HARALDS PATRIKS","VĪRIETIS",3
"HARALDS PAULS","VĪRIETIS",3
"HARALDS PĒTERIS","VĪRIETIS",2
"HARALDS RALFS","VĪRIETIS",1
"HARALDS RAULS","VĪRIETIS",1
"HARALDS RIHARDS","VĪRIETIS",2
"HARALDS RIČARDS","VĪRIETIS",1
"HARALDS ROBERTS","VĪRIETIS",1
"HARALDS RODRIGO","VĪRIETIS",1
"HARALDS ROLANDS","VĪRIETIS",1
"HARALDS RONALDS","VĪRIETIS",1
"HARALDS TOMS","VĪRIETIS",1
"HARALDS TORS","VĪRIETIS",1
"HARALDS VAIRIS","VĪRIETIS",1
"HARALDS VERNERS","VĪRIETIS",1
"HARALDS VILIS","VĪRIETIS",1
"HARALDS VISVALDIS","VĪRIETIS",1
"HARALDS ZIEDONIS","VĪRIETIS",1
"HARALDS ŽANIS","VĪRIETIS",1
"HARDA","SIEVIETE",1
"HARDEEP","VĪRIETIS",2
"HARDEEP SINGH","VĪRIETIS",2
"HARDIJA","SIEVIETE",12
"HARDIJA EGITA","SIEVIETE",1
"HARDIJS","VĪRIETIS",147
"HARDIJS ALDIS","VĪRIETIS",1
"HARDIJS DĀVIS","VĪRIETIS",1
"HARDIJS HUGO","VĪRIETIS",1
"HARDIJS KRISTIANS","VĪRIETIS",1
"HARDIJS NAMEJS","VĪRIETIS",1
"HARDIJS PAULS","VĪRIETIS",1
"HARDIJS ROBERTS","VĪRIETIS",1
"HARDIK JAYMAL","VĪRIETIS",1
"HARDINS KRISTIANS","VĪRIETIS",1
"HARDIS","VĪRIETIS",8
"HARDY-CAN","VĪRIETIS",1
"HARDŽINDERS","VĪRIETIS",1
"HAREEM","SIEVIETE",2
"HAREENDRA MADHUSHA","VĪRIETIS",1
"HAREHIN","VĪRIETIS",1
"HARELE","SIEVIETE",1
"HARELE NAMA","SIEVIETE",1
"HARELS","VĪRIETIS",14
"HARELS ABRAHAMS","VĪRIETIS",1
"HARELS HERCELS","VĪRIETIS",1
"HARENDRAKUMAR YADVENDRAKUMAR","VĪRIETIS",1
"HARGOBIND SINGH","VĪRIETIS",1
"HARI","VĪRIETIS",4
"HARI CHANDANA","SIEVIETE",1
"HARIBEJA HOSEFINA","SIEVIETE",1
"HARIDU CHATHURANGA","VĪRIETIS",1
"HARIETA","SIEVIETE",1
"HARIETA HĒRA","SIEVIETE",1
"HARIGA","SIEVIETE",1
"HARIGARAN","VĪRIETIS",1
"HARIHARAN","VĪRIETIS",2
"HARII","VĪRIETIS",1
"HARIJA","SIEVIETE",2
"HARIJITH","VĪRIETIS",1
"HARIJS","VĪRIETIS",1624
"HARIJS ALANS","VĪRIETIS",1
"HARIJS ALEKSANDRS","VĪRIETIS",1
"HARIJS ARMĪNS","VĪRIETIS",1
"HARIJS ARTŪRS","VĪRIETIS",1
"HARIJS ARVIDS","VĪRIETIS",1
"HARIJS AUGUSTS","VĪRIETIS",1
"HARIJS BRUNO","VĪRIETIS",2
"HARIJS DANIELS","VĪRIETIS",1
"HARIJS DAUKŠTS","VĪRIETIS",1
"HARIJS DEINS","VĪRIETIS",1
"HARIJS DEIVIDS","VĪRIETIS",1
"HARIJS DONĀTS","VĪRIETIS",1
"HARIJS DZINTARS","VĪRIETIS",2
"HARIJS DĀVIDS","VĪRIETIS",3
"HARIJS DŽEIMSS","VĪRIETIS",2
"HARIJS DŽEMSS","VĪRIETIS",1
"HARIJS DŽONS","VĪRIETIS",2
"HARIJS DŽONS GREIEMS","VĪRIETIS",1
"HARIJS DŽORDŽS","VĪRIETIS",1
"HARIJS EDGARS DŽORDŽS","VĪRIETIS",1
"HARIJS EDUARDS","VĪRIETIS",4
"HARIJS EDVARDS","VĪRIETIS",5
"HARIJS EGONS","VĪRIETIS",1
"HARIJS ELIOTS","VĪRIETIS",1
"HARIJS ENDRŪ","VĪRIETIS",1
"HARIJS EVALDS","VĪRIETIS",1
"HARIJS EVERTS","VĪRIETIS",1
"HARIJS FELIKS","VĪRIETIS",1
"HARIJS FREDERIKS","VĪRIETIS",1
"HARIJS FRICIS","VĪRIETIS",1
"HARIJS GABRIELS","VĪRIETIS",1
"HARIJS GATIS","VĪRIETIS",1
"HARIJS GEORGS","VĪRIETIS",1
"HARIJS GUNĀRS","VĪRIETIS",2
"HARIJS GUSTAVS","VĪRIETIS",1
"HARIJS HANSS","VĪRIETIS",1
"HARIJS HARALDS","VĪRIETIS",1
"HARIJS HEINRIHS","VĪRIETIS",1
"HARIJS HJŪ","VĪRIETIS",1
"HARIJS HUGO","VĪRIETIS",1
"HARIJS IMANTS","VĪRIETIS",3
"HARIJS IVARS","VĪRIETIS",1
"HARIJS JURIS","VĪRIETIS",2
"HARIJS JĀKOBS","VĪRIETIS",1
"HARIJS JĀNIS","VĪRIETIS",7
"HARIJS JĒKABS","VĪRIETIS",1
"HARIJS KASPARS","VĪRIETIS",1
"HARIJS KRISTERS","VĪRIETIS",2
"HARIJS KRISTIĀNS","VĪRIETIS",1
"HARIJS KRISTS","VĪRIETIS",1
"HARIJS KRIĶIS","VĪRIETIS",1
"HARIJS KĀRLIS","VĪRIETIS",4
"HARIJS LAIMONIS","VĪRIETIS",2
"HARIJS LEO","VĪRIETIS",2
"HARIJS LIAMS","VĪRIETIS",1
"HARIJS MAIKLS","VĪRIETIS",1
"HARIJS MARKO","VĪRIETIS",1
"HARIJS MARKUSS","VĪRIETIS",1
"HARIJS MORELLO","VĪRIETIS",1
"HARIJS NAIDŽELS","VĪRIETIS",1
"HARIJS NIKLĀVS","VĪRIETIS",1
"HARIJS NIKO","VĪRIETIS",1
"HARIJS OLAFS","VĪRIETIS",1
"HARIJS OLIVERS","VĪRIETIS",2
"HARIJS OSKARS","VĪRIETIS",1
"HARIJS OSVALDS","VĪRIETIS",1
"HARIJS PAULS","VĪRIETIS",3
"HARIJS PĒTERIS","VĪRIETIS",1
"HARIJS RAFAELS","VĪRIETIS",1
"HARIJS RAIMONDS","VĪRIETIS",2
"HARIJS RALFS","VĪRIETIS",1
"HARIJS REIMONDS","VĪRIETIS",1
"HARIJS RIČARDS","VĪRIETIS",1
"HARIJS RODŽERS","VĪRIETIS",1
"HARIJS ROLANDS","VĪRIETIS",1
"HARIJS RŪDOLFS","VĪRIETIS",1
"HARIJS SAMUELS","VĪRIETIS",1
"HARIJS SANDIS","VĪRIETIS",2
"HARIJS STENLIJS","VĪRIETIS",1
"HARIJS TOMS","VĪRIETIS",1
"HARIJS VALTERS","VĪRIETIS",1
"HARIJS VERNERS","VĪRIETIS",1
"HARIJS VILJAMS","VĪRIETIS",1
"HARIJS ZIEDONIS","VĪRIETIS",1
"HARIJS ĀDOLFS","VĪRIETIS",2
"HARIJS ĀRIS","VĪRIETIS",2
"HARIJS ĒRIKS","VĪRIETIS",2
"HARIJS ŽANIS","VĪRIETIS",1
"HARIKRISHNA","VĪRIETIS",2
"HARIKRISHNAN","VĪRIETIS",3
"HARIKUMARAN","VĪRIETIS",1
